name
Hazzanit
Hebro
Heinrich Berté
Heinrich Grünfeld
Heinrich Kreuzer
Heinrich Schalit
Heinrich Schenker
Heinrich Wilhelm Ernst
Helen Bonchek Schneyer
Helen Deutsch
Helen Forrest
Helen Reddy
Helen Shapiro
Helen Slater
Helena Lewyn
Hellmut Stern
Hemi Rudner
Hen Yanni
Henree
Henri Herz
Henriette Gottlieb
Henriette Nissen-Saloman
Henriëtte Bosmans
Henry Gross
Henry Rosenblum
Henryk Gold
Henryk Szeryng
Henryk Wieniawski
Hephzibah Menuhin
Herb Alpert
Herbert Brün
Herbert Couf
Herbert Zipper
Herbie Mann
Herman David Koppel
Herman Jadlowker
Herman Yablokoff
Hermann Cohen (Carmelite)
Hermann Levi
Hermann Schramm
Herschel Garfein
Herzl Kabilio
Hilda Bor
Hilde Zadek
Hillel Slovak
Hillel Tigay
Hilly Kristal
Hip Hop Hoodíos
Hirsch Barenblat
Honey G (rapper)
Hoodie Allen
Howard Ashman
Howard Brothers
Howard Greenfield
Howard Kaylan
Howard Levy
Howard Shanet
Howard Shore
Howie Epstein
Hugh Blumenfeld
Hugo Chaim Adler
Hugo Kauder
Hunt Sales
Hy Zaret
Hélène Grimaud
Ian Broudie
Ida Haendel
Idan Raichel
Idan Yaniv
Idina Menzel
Ignace Tiegerman
Ignatz Waghalter
Ignaz Brüll
Ignaz Friedman
Ignaz Moscheles
Igor Gorin
Igor Kipnis
Igor Krutogolov
Igor Krutoy
Igor Levit
Igor Oistrakh
Ilan Rubin
Ilan Virtzberg
Ilan Volkov
Ilana Rovina
Ilana Vered
Ilanit
Ilia Trilling
Ill Bill
Ilona Eibenschütz
Ilona Fehér
Ilona Vincze-Krausz
Ilyas Malayev
Inbal Segev
Inbar Bakal
Ingrid Croce
Ingrid Fliter
Inon Barnatan
Invincible (rapper)
Ioan Holender
Ioseb Bardanashvili
Ira Bernstein
Ira Gershwin
Ira Kaplan
Irene Eisinger
Irene Pavloska
Irene Scharrer
Irina Zaritskaya
Irving Berlin
Irving Caesar
Irving Fields
Irving Gertz
Irving Gordon
Irving Kahal
Irving Kaufman (singer)
Irving Taylor (songwriter)
Irén Marik
Isa Kremer
