query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Jeff Sampson,Jeff Sampson,2729ba51-bdb1-4690-b2b5-f1d15a7c6771,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Pulso,Pulso,22809,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Polyrhythmics,Polyrhythmics,551946bc-e6db-4d69-b50a-4f3cfb29963f,87,10,77,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
Ardleg,Ardleg,ca932f1b-c0b9-448b-b406-2d0cd066305e,11,11,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Pink Hex,Pink Hex,18845,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Monkey Warhol,Monkey Warhol,a865e5c5-6359-48fd-892a-edca68a4c41d,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
почему коммутатор молчит,почему коммутатор молчит,5f2a4e67-87b9-4995-b3d5-552a20f57c8c,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Feminine,Feminine,23419,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
San Cristóbal Orquesta,San Cristóbal Orquesta,5498,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
NASA,NASA,6055,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Geir Tjelta,Geir Tjelta,24b0f934-9c92-4cfb-b262-c660e096ae85,12,12,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Sidabitball,Sidabitball,447aebae-dcaa-4de9-ad9c-1a79c13febce,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
ignatzthemouse,ignatzthemouse,6078,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Gipsyork,Gipsyork,6564,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
V∅,V∅,30685b9c-419c-4567-86a8-49c720f7888f,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Yummy Fur,The Yummy Fur,a7bdaa59-18fb-4ad4-9fca-bb710544b365,25,10,0,15,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Disen Gage,Disen Gage,f8f5c19e-aab1-4206-8f13-1976bcf9ca0c,18,10,0,8,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Cindy Sizer,Cindy Sizer,7e503700-b2d9-48ce-8466-802bc5391300,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Dragan Espenschied,Dragan Espenschied,a50e3b5b-5ce4-4126-a0d2-76f496dc91db,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Chris Andrews,Chris Andrews,7039,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Baobinga,Baobinga,3421f4bf-2f45-4cef-ae14-519cb3058c4e,20,10,9,0,1,free-music-archive;laion-disco-12m;spotify-tracks-dataset,free-music-archive,Google;Stability AI,USED_BY
I.D.,I.D.,d8643eb6-9588-4e2d-89f2-e7e278d1eaf4,23,10,9,3,1,free-music-archive;laion-disco-12m;sleeping-disco-9m;spotify-tracks-dataset,free-music-archive,Google;Stability AI,USED_BY
TerbujurKaku,TerbujurKaku,ebe9264f-94f4-42b4-a412-535ef47979d1,11,11,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
IntraHealth International,IntraHealth International,7255,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mangeclous,Mangeclous,7318,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Matheatre,Matheatre,8eab28e9-b613-4cfc-ba98-5715bd64a3a5,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
St. LaRok,St. LaRok,829713e4-c356-4435-b2cc-e10501d1a5d3,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
The Ribeye Brothers,The Ribeye Brothers,77a997ff-a49c-479a-9f95-f21ffe94bf4d,11,10,0,1,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
El Remolón,El Remolón,5de31412-4646-4436-bafd-3fdd986b608e,147,10,137,0,0,free-music-archive;laion-disco-12m,free-music-archive,Google;Stability AI,USED_BY
ZARAZ WAM ZAGRAM,ZARAZ WAM ZAGRAM,7826,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Charles Atlas,Charles Atlas,da3a71e0-2f6c-4d50-8571-b1ae750bfdc5,10,10,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
