query_name,matched_name,creator_id,total_results,count__free-music-archive,count__laion-disco-12m,count__sleeping-disco-9m,count__spotify-tracks-dataset,present_datasets,used_by_datasets,used_by_companies,flag
Wooden Ambulance,Wooden Ambulance,878aa338-5d84-4434-b851-3db86c0646ba,65,65,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Waylon Thornton,Waylon Thornton,10027,65,65,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Music Factory,Music Factory,18686,64,64,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Berthelot,Berthelot,3b9e456c-1839-4142-9351-1d050a0a9162,64,64,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Cory Gray,Cory Gray,62babf73-8652-4ac1-96ed-85a1026e97a1,64,64,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
half cocked,half cocked,21946,64,64,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
TALES,TALES,22160,64,64,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Garmisch,Garmisch,91cb3bac-059a-45f4-923c-d78c4980b48c,63,63,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Wayne Kinos,Wayne Kinos,22014,63,63,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
S.J. Mellia,S.J. Mellia,f5b68a67-b69e-456f-9004-503444e462a3,77,77,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Apache Tomcat,Apache Tomcat,70184826-f8f0-4c4d-bfa2-bb1f6fd6e549,62,62,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Free Matter for the Blind,Free Matter for the Blind,2,65,62,0,3,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Sam Gas Can,Sam Gas Can,dc8737fb-07bf-45d7-982c-3769f945e51f,62,62,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Mild Maynyrd,Mild Maynyrd,7770b3de-f1fa-4134-b2b1-1f193de58bc8,62,62,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Jason Shaw,Jason Shaw,d31f3f70-374c-489d-af7d-1cbb10f40533,62,62,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Volcano the Bear,Volcano the Bear,0dbb85b2-d0c6-47bf-b7c6-6011df868896,65,65,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Fields Ohio,Fields Ohio,99daf93f-86d3-4060-877a-c808a370f279,72,72,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Westy Reflector,Westy Reflector,bc01661b-53f9-496d-88b6-055284b8a92d,61,61,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
P C III,P C III,9d623e3f-60b2-4f2b-a2f4-71b97e0651d9,65,61,0,4,0,free-music-archive;sleeping-disco-9m,free-music-archive,Google;Stability AI,USED_BY
Deadly Combo,Deadly Combo,17695,60,60,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
D3Zs,D3Zs,6b368066-6ddf-4032-a7e6-a050270ed648,60,60,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Andrew Howes,Andrew Howes,ab16d31b-3f5b-4547-b67f-1f7b3ffd6505,60,60,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
OWL BRAIN ATLAS,OWL BRAIN ATLAS,10567,60,60,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
BADLUCK,BADLUCK,11216,60,60,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
Vir Nocturna,Vir Nocturna,21533,60,60,0,0,0,free-music-archive,free-music-archive,Google;Stability AI,USED_BY
